reviewer_name,review_date,review_star_text,review_star_count,review_helpful_count,review
arun kumar,"November 22, 2020",Rated 1 stars out of five stars,1,1032,"Useless app, don't give real time update when we are at a crowded place. It was claimed that it will give you alerts but it doesn't happen. It gives update after 3 days that you came in contact. I use to check the number of cases rising everyday but now they are not updating that information also."
K s,"December 16, 2020",Rated 3 stars out of five stars,3,15,"Please remove the scrolling text in your covid people radius section. its an irritative feature of slow scrolling. Instead of Unnecessary news and large size labels, highlight ""how many people near you are covid positive"" in big sized text. You highlighted unnecessary things in big text size and necessary things in small text size with unneeded scrolling."
hoshaiah reddy,"December 7, 2020",Rated 1 stars out of five stars,1,189,"It was fine in the beginning. Now it automatically deactivates and asks for registration. In the process, it's halting at ""aarogyasetu app wants to make your phone visible to other bluetooth devices for 120 sec"" whether we accept or deny it does not proceed further. I Uninstalled and reinstalled several times but no remedy."
Nallasivan Govindasamy,"November 23, 2020",Rated 1 stars out of five stars,1,333,"ZERO RATING. I never get any alerts from this app even though I had covid affected neighbors. The worst thing is that I got COVID-19 and I have updated my status in the app. I used my another phone and checked whether it alerts or not. Not even a single alert. This application is purely for data collection and not for helping people. Please don't reply like ""WE ARE EXTREMELY SORRY FOR THE INCONVENIENCE"" kind of automated replies. I don't want any from you"
Aayush Agrawal,"December 11, 2020",Rated 3 stars out of five stars,3,65,"Deceased and recovered graphs are not visible due to use of incorrect colour combination. I mentioned coughing and it is showing me at high risk. I could be having common cold or dust alergy, corresponding options are not there. If I have already got tested, There should be a way to update test ID or SRF no and app should pull results from there. People will lie on test if incomplete options provided. Incomplete app, not reliable. it's been developed so quickly, but not improved for accuracy."
Gaurav Sehgal,"December 13, 2020",Rated 1 stars out of five stars,1,117,"From last 2 months, my aap status is showing Covid +ive. This status came up suddently one day, and I have not undergone any prior testing as well. Not sure who maintains this app and how they mark the +ive status on an specifc mobile number. Looks like there is a complete unorganised structure behind, who is maintaining this app and because of that common people are suffering. For me this app is of no use, but is a annoying thing to have."
MOHAMMED Ali,"October 31, 2020",Rated 1 stars out of five stars,1,976,"Totally useless app. If it has real time data on positive patients and their location, with my Bluetooth always on I expect that it warns me when I am in the vicinity. It does not. Moreover, now that I have 2 next door, it has no clue, it does not show them. It caused undue stress on me telling me I am at risk, two days after I may have crossed someone in a busy intersection. It is simply, ineffective, useless. I am not removing it only because some places want to check it."
Manjul Kumar,"November 19, 2020",Rated 1 stars out of five stars,1,111,Very poor app. Even after more than half an hour the app cannot provide following information and displaying fetching fetching fetching... 1. Fetching nearby covid19 cases but unable to provide information. 2. Fetching Covid19 Testing Laboratories but unable to display any information. 3. Fetching COVID-19 care hospitals but again cannot display any information. I think app is made only for inauguration purpose not for lateron uses. I don't have any network issue.
Sabyasachi Chatterjee,"October 13, 2020",Rated 4 stars out of five stars,4,2104,"App is fine. But sometimes , after it updates, it logs you out , and you have to ""re-register"". This is inconvenient. Moreover, the app should continuously prompt, when bluetooth is switched off. This way, people around will be safe. Also, the app should start giving a siren alert or vibrate, if you come near someone with ""unsafe"" stat on the app."
Manish Lalwani,"November 28, 2020",Rated 3 stars out of five stars,3,13,"In the Covid Updates graphic representation, Daily Deceased and Daily Recovery options are not shown clearly.. The chart is only showing in cumulative basis and Daily basis format should be made properly visible.. Please look into this because I usually have a look on it and from last update, it is disappeared.. Please resolve at the earliest."
Nikhil Sinha,"December 13, 2020",Rated 1 stars out of five stars,1,5,"For the last 30 days or so, I have the same 2-3 contacts. It looks like the app does not connect to new people any more! EDIT: Yes, it works now. But for almost a month, it was not working. EDIT #2: Does not work at all!"
D Parmar,"November 30, 2020",Rated 3 stars out of five stars,3,95,Installed from early on. Haven't seen any alerts on cases nearby. Why does this app need Bluetooth to be on at all times? Bluetooth uses up more battery life. And notifications are not able to be cleared. Poorly designed app. India has some of the best programmers and yet govt apps and websites are so poorly designed.
Amrita singh,"November 8, 2020",Rated 1 stars out of five stars,1,2071,"This app is useless, and its because it doesn't know the condition of people. Like imagine you have to go to a crowded place for some reason, and when you scan, it shows that it does not know the condition of some 100 or 200 persons, I have installed this on my device only because we can't get entry on some places without it, just a formality. Tottaly useless."
Johnson P,"October 20, 2020",Rated 1 stars out of five stars,1,375,"There is no change in opinion. In fact it is growing worse. I asked some of my friends and a number friends opinioned that they installed it under compulsion but not at all using it. Now, there's a covid case adjacent to my house. But the app shows that no positive case within 1 km using the app. This is the true picture of the app. Those who says app is fine tells you only just that, but utility wise its zero."
Astha Gupta,"December 10, 2020",Rated 1 stars out of five stars,1,5,Worst app. No update or notification for recent contacts. It just show high risk of infection all the time when u feed some symptoms nothing else. I don't understand why the hell government developed it.. when it was of no use for public. It just shows stats of covid.. which anyone can check on google or websites.
NAGESH PUTTASWAMY,"November 28, 2020",Rated 3 stars out of five stars,3,53,It gives one tension when it says you were in close proximity of infected/high risk person it could also give a warning like a beep or a msg so that one ca be more careful. I have it on 2 devices which always be together with me. Each one of them show different information on contact numbers are quite high like 20 in one 27 in other. Both are always on both has internet on always & blue tooth. They will on me together in one pocket.
Mahendra Pratap Singh,"November 17, 2020",Rated 1 stars out of five stars,1,2023,Simply only one thing i can say is that it is a useless app. It can not even warn the user that he/ she is close to the positive patients or sensitive areas. Even if the user wants to know then also it gives a message that the status of close contacts will be updated after 3 hours. I think the developer is interested in data collection only and not in checking spread of covid19.
suraj gulati,"December 3, 2020",Rated 3 stars out of five stars,3,74,"From last 10 to 14 days app has stopped sensing users which comes in bluetooth proximity, as it's now not showing data to be updated to server and number of proximity count is decreasing day to day. while working in busy work environment and aftera reinstalling app,status is still same, app is not able to discover other aarogya setu app users through bluetooth proximity. Also same status with other aarogya setu app being used in other phone. So please check."
Zamyang Bhutia,"December 12, 2020",Rated 1 stars out of five stars,1,4,I can't be able to register in this app since from yesterday m trying to register or login but when I put my Mobil no and I pressed submit button aftr some time it says their is some error logging you in..I don't knw why but since yesterday m trying to login because I have to catch my flight in 14 December..any suggestions pls..
Manu Mishra,"September 25, 2020",Rated 3 stars out of five stars,3,540,I was using the older version of this and I didn't find any problem while registering my mobile number. But when I updated my app in the newer version the app is not taking my mobile number to get registered. I am using one plus 7 mobile phone and the same mobile I have been using for the older version too. Can anyone please suggest me what to be done to resolve this issue.
Saumya Chauhan,"November 25, 2020",Rated 1 stars out of five stars,1,20,I can't log in. I have to travel tomorrow. It is an URGENT MATTER! It's showing an ERROR! I did as was asked. I deleted the app cache. I have also uninstalled and reinstalled the application. I emailed the screenshot of the app showing the error. I also wrote my phone model number and Android version. I updated the software and retried as well. This app is still not logging me in. PLEASE RESOLVE MY ISSUE ASAP. I HAVE TO TRAVEL TOMORROW.
anuraj,"December 8, 2020",Rated 3 stars out of five stars,3,82,"Every time i open this app after some days its automatically logout.every time we need to login. Before 2 month 4 person i contacted had corona ,but i didn't get any alerts or any notification. i just scan my recent contact details at that time its showing some of the contact person had corona.but i didn't get any alert or anything"
suman ghosh,"November 22, 2020",Rated 1 stars out of five stars,1,150,"Not so good fully its useless. Only its use to watch daily covid report. But its not work properly today(date-22/11/2020). I want to give it 0 star but its out of option. The app saw us ""you are safe or high risk "" it is fully based on assess. Very bad and useless, and the app always tell us to on our bluetooth. Very bad 🖓🖓🖓🖓"
Sankarasubramanian subbier,"November 27, 2020",Rated 5 stars out of five stars,5,77,"Very good. As long as the other person has a mobile with this app, enabled with blue tooth and location. Surprised to read reviews without knowing this essential need. When I had to accompany my brother to a hospital during Oct 2020 to meet a nuro surgeon, it has caputured one infected person's presense somewhere around. Disappeared a few weeks latter, may be after a specific weeks or so. I am impressed. Every alternate day I assess myself for MY safety."
Neelesh Chatterjee,"December 9, 2020",Rated 1 stars out of five stars,1,19,You should add one option by which we can see our own covid 19 test report also by entering own contact number through otp services verification.you are sending the covid test based sms but if one time phones are formatted then no sms link will be in phone anyway. But if we can see the result in this app that woukd be best for us. Include the service in arogya setu app.
RAJKUMAR,"September 23, 2020",Rated 3 stars out of five stars,3,226,"There is some technical glitch in locating/Position capturing procedure/programming of this App . On 13 September 2020 , I was only at Kolkata airport but as per this app , My position was traced both at Kolkata & Delhi airports in a time span of 30 minute which is practically not possible. So I am not 100% sure that data provided by this app for you is reliable. Developer, Please take corrective measures. Thanks. FYI App version 1.4.1 & Android version 9 , Phone model Honor 7X."
